GROWER,FARM_NAME,FIELD_ID,SAMP_DATE,SAMP_ID,X,Y,PH,BPH,OM,P_M3,P_BRAY,P_OLSEN,K,ZN,S,CEC,CA,MG,NA,H_SAT,K_SAT,MG_SAT,CA_SAT,NA_SAT,FE,CU,B,MN,NO3_N
ISU RESEARCH FARMS,AEA,S1-390799,11-20-2024,1,-93.769420999999994,42.013829999999999,6.100000000000000,6.700000000000000,3.700000000000000,10.000000000000000, , ,112.000000000000000, ,5.000000000000000,22.399999999999999,3173.000000000000000,400.000000000000000, ,13.400000000000000,1.300000000000000,14.600000000000000,70.700000000000003, , , , , , 
ISU RESEARCH FARMS,AEA,S1-390799,11-20-2024,2,-93.768613999999999,42.013829999999999,6.800000000000000,7.000000000000000,4.000000000000000,8.000000000000000, , ,122.000000000000000, ,6.000000000000000,23.199999999999999,3753.000000000000000,507.000000000000000, ,0.000000000000000,1.300000000000000,17.899999999999999,80.799999999999997, , , , , , 
ISU RESEARCH FARMS,AEA,S1-390799,11-20-2024,3,-93.768613999999999,42.013283999999999,6.200000000000000,6.800000000000000,3.100000000000000,11.000000000000000, , ,107.000000000000000, ,9.000000000000000,17.699999999999999,2539.000000000000000,336.000000000000000, ,11.300000000000001,1.500000000000000,15.500000000000000,71.599999999999994, , , , , , 
ISU RESEARCH FARM,AEA,10-387090,11-20-2024,1,-93.760497000000001,42.020530000000001,6.000000000000000,6.900000000000000,2.300000000000000,7.000000000000000, , ,93.000000000000000, ,2.000000000000000,13.100000000000000,1929.000000000000000,270.000000000000000, ,7.600000000000000,1.800000000000000,16.899999999999999,73.599999999999994, , , , , , 
ISU RESEARCH FARM,AEA,10-387090,11-20-2024,2,-93.760497000000001,42.021380999999998,6.000000000000000,6.600000000000000,4.100000000000000,20.000000000000000, , ,127.000000000000000, ,2.000000000000000,22.100000000000001,2998.000000000000000,343.000000000000000, ,18.100000000000001,1.500000000000000,12.699999999999999,67.700000000000003, , , , , , 
ISU RESEARCH FARM,AEA,10-387090,11-20-2024,3,-93.761567999999997,42.021380999999998,6.200000000000000,6.800000000000000,4.200000000000000,14.000000000000000, , ,115.000000000000000, ,2.000000000000000,21.600000000000001,3209.000000000000000,395.000000000000000, ,9.300000000000001,1.400000000000000,15.000000000000000,74.400000000000006, , , , , , 
ISU RESEARCH FARM,AEA,10-387090,11-20-2024,4,-93.761567999999997,42.020530000000001,6.200000000000000,6.800000000000000,4.300000000000000,29.000000000000000, , ,170.000000000000000, ,3.000000000000000,20.199999999999999,3023.000000000000000,324.000000000000000, ,9.900000000000000,2.200000000000000,13.100000000000000,74.799999999999997, , , , , , 
ISU RESEARCH FARMS,AEA,20-390765,11-20-2024,1,-93.758712000000003,42.020977999999999,7.300000000000000,7.200000000000000,5.200000000000000,62.000000000000000,0,0,215.000000000000000,0,5.000000000000000,31.600000000000001,5619.000000000000000,360.000000000000000,0,0.000000000000000,1.700000000000000,9.300000000000001,88.900000000000006,0,0,0,0,0,0
ISU RESEARCH FARMS,AEA,20-390765,11-20-2024,2,-93.759484999999998,42.020955000000001,5.800000000000000,6.800000000000000,3.000000000000000,13.000000000000000,0,0,133.000000000000000,0,4.000000000000000,16.000000000000000,2208.000000000000000,320.000000000000000,0,12.500000000000000,2.100000000000000,16.399999999999999,69.000000000000000,0,0,0,0,0,0
ISU RESEARCH FARMS,AEA,20-390765,11-20-2024,3,-93.759484999999998,42.021554999999999,6.200000000000000,6.800000000000000,3.100000000000000,25.000000000000000,0,0,109.000000000000000,0,4.000000000000000,17.500000000000000,2485.000000000000000,340.000000000000000,0,11.400000000000000,1.600000000000000,15.900000000000000,71.000000000000000,0,0,0,0,0,0
